main_to_int,n_substrates,n_extra_vars,iteration,mtry,nrounds,max_depth,k
0.1,30,50,15,53,20,4,13
0.1,30,0,16,3,20,4,5
0.1,30,1,16,4,20,6,7
0.1,30,3,16,5,20,4,5
0.1,30,5,16,8,20,4,5
0.1,30,10,16,13,30,4,5
0.1,30,20,16,23,30,4,13
0.1,30,30,16,33,20,4,13
0.1,30,40,16,43,20,4,13
0.1,30,50,16,40,20,4,13
0.1,30,0,17,3,20,6,5
0.1,30,1,17,4,20,6,7
0.1,30,3,17,6,20,4,7
0.1,30,5,17,8,20,6,9
0.1,30,10,17,13,10,4,7
0.1,30,20,17,23,20,4,13
0.1,30,30,17,33,20,4,13
0.1,30,40,17,32,20,6,11
0.1,30,50,17,53,20,4,13
0.1,30,0,18,3,20,4,5
0.1,30,1,18,4,20,6,5
0.1,30,3,18,6,20,4,7
0.1,30,5,18,8,10,6,5
0.1,30,10,18,13,20,4,11
0.1,30,20,18,23,10,6,11
0.1,30,30,18,33,20,4,13
0.1,30,40,18,32,20,4,13
0.1,30,50,18,40,20,4,13
0.1,30,0,19,3,20,4,5
0.1,30,1,19,4,20,4,5
0.1,30,3,19,5,30,4,7
0.1,30,5,19,8,20,4,7
0.1,30,10,19,13,20,4,5
0.1,30,20,19,17,20,4,13
0.1,30,30,19,25,20,4,11
0.1,30,40,19,43,20,4,13
0.1,30,50,19,53,20,6,13
0.1,30,0,20,3,20,6,5
0.1,30,1,20,4,20,6,5
0.1,30,3,20,5,30,4,7
0.1,30,5,20,6,20,4,5
0.1,30,10,20,13,20,4,7
0.1,30,20,20,17,20,4,13
0.1,30,30,20,25,20,4,13
0.1,30,40,20,32,10,6,13
0.1,30,50,20,53,20,4,13
0.1,30,0,21,3,20,6,5
0.1,30,1,21,4,20,6,5
0.1,30,3,21,6,20,6,7
0.1,30,5,21,8,20,4,7
0.1,30,10,21,10,20,4,9
0.1,30,20,21,23,20,4,13
0.1,30,30,21,33,20,4,13
0.1,30,40,21,32,20,4,13
0.1,30,50,21,53,10,6,13
0.1,30,0,22,3,20,6,5
0.1,30,1,22,4,10,6,5
0.1,30,3,22,6,20,4,11
0.1,30,5,22,8,20,4,11
0.1,30,10,22,13,20,4,13
0.1,30,20,22,23,20,4,13
0.1,30,30,22,33,20,4,13
0.1,30,40,22,43,20,6,13
0.1,30,50,22,53,10,6,13
0.1,30,0,23,3,20,6,7
0.1,30,1,23,4,20,4,5
0.1,30,3,23,6,20,6,7
0.1,30,5,23,8,20,4,5
0.1,30,10,23,13,30,4,5
0.1,30,20,23,23,30,4,11
0.1,30,30,23,33,20,6,13
0.1,30,40,23,43,20,6,13
0.1,30,50,23,53,20,4,13
0.1,30,0,24,3,20,6,7
0.1,30,1,24,4,20,6,5
0.1,30,3,24,6,20,4,7
0.1,30,5,24,8,20,6,7
0.1,30,10,24,10,20,4,7
0.1,30,20,24,23,20,4,13
0.1,30,30,24,33,10,6,13
0.1,30,40,24,22,20,4,13
0.1,30,50,24,40,20,4,13
0.1,30,0,25,3,20,6,5
0.1,30,1,25,3,20,4,5
0.1,30,3,25,6,20,6,7
0.1,30,5,25,8,20,6,7
0.1,30,10,25,13,20,4,7
0.1,30,20,25,23,10,4,13
0.1,30,30,25,33,10,6,13
0.1,30,40,25,43,10,4,13
